Status ==> [-], Response Time ==> [- ms], Date & Time ==> [Fri, 19 May 2023 13:32:52 GMT], Method ==> [GET], Url ==> [/teachers/2] 
Status ==> [-], Response Time ==> [- ms], Date & Time ==> [Fri, 19 May 2023 13:34:19 GMT], Method ==> [GET], Url ==> [/teachers/1] 
Status ==> [200], Response Time ==> [19.978 ms], Date & Time ==> [Fri, 19 May 2023 13:34:22 GMT], Method ==> [GET], Url ==> [/teachers] 
Status ==> [200], Response Time ==> [21.514 ms], Date & Time ==> [Fri, 19 May 2023 13:35:26 GMT], Method ==> [GET], Url ==> [/teachers] 
Status ==> [200], Response Time ==> [31.227 ms], Date & Time ==> [Fri, 19 May 2023 13:35:31 GMT], Method ==> [POST], Url ==> [/teachers] 
Status ==> [200], Response Time ==> [5.234 ms], Date & Time ==> [Fri, 19 May 2023 13:35:35 GMT], Method ==> [GET], Url ==> [/teachers] 
Status ==> [200], Response Time ==> [11.694 ms], Date & Time ==> [Fri, 19 May 2023 13:36:46 GMT], Method ==> [GET], Url ==> [/teachers] 
Status ==> [200], Response Time ==> [30.498 ms], Date & Time ==> [Fri, 19 May 2023 13:36:53 GMT], Method ==> [POST], Url ==> [/teachers] 
Status ==> [200], Response Time ==> [33.212 ms], Date & Time ==> [Fri, 19 May 2023 13:38:14 GMT], Method ==> [GET], Url ==> [/teachers/1] 
Status ==> [200], Response Time ==> [4.538 ms], Date & Time ==> [Fri, 19 May 2023 13:38:19 GMT], Method ==> [GET], Url ==> [/teachers/2] 
Status ==> [200], Response Time ==> [6.478 ms], Date & Time ==> [Fri, 19 May 2023 13:38:23 GMT], Method ==> [GET], Url ==> [/teachers/3] 
Status ==> [500], Response Time ==> [7.736 ms], Date & Time ==> [Fri, 19 May 2023 13:38:28 GMT], Method ==> [GET], Url ==> [/teachers/4] 
Status ==> [500], Response Time ==> [15.435 ms], Date & Time ==> [Fri, 19 May 2023 13:39:09 GMT], Method ==> [GET], Url ==> [/teachers/4] 
Status ==> [500], Response Time ==> [16.290 ms], Date & Time ==> [Fri, 19 May 2023 13:40:19 GMT], Method ==> [GET], Url ==> [/teachers/4] 
Status ==> [500], Response Time ==> [15.094 ms], Date & Time ==> [Fri, 19 May 2023 13:40:49 GMT], Method ==> [GET], Url ==> [/teachers/4] 
Status ==> [200], Response Time ==> [11.618 ms], Date & Time ==> [Fri, 19 May 2023 13:41:00 GMT], Method ==> [GET], Url ==> [/teachers/1] 
Status ==> [500], Response Time ==> [3.216 ms], Date & Time ==> [Fri, 19 May 2023 13:42:29 GMT], Method ==> [GET], Url ==> [/teachers/5] 
Status ==> [200], Response Time ==> [35.539 ms], Date & Time ==> [Fri, 19 May 2023 13:47:07 GMT], Method ==> [DELETE], Url ==> [/teachers] 
Status ==> [200], Response Time ==> [23.918 ms], Date & Time ==> [Fri, 19 May 2023 13:47:12 GMT], Method ==> [GET], Url ==> [/teachers] 
Status ==> [200], Response Time ==> [3.548 ms], Date & Time ==> [Fri, 19 May 2023 13:47:24 GMT], Method ==> [DELETE], Url ==> [/teachers] 
Status ==> [500], Response Time ==> [58.761 ms], Date & Time ==> [Fri, 19 May 2023 13:48:26 GMT], Method ==> [POST], Url ==> [/teachers] 
Status ==> [200], Response Time ==> [15.433 ms], Date & Time ==> [Fri, 19 May 2023 13:48:48 GMT], Method ==> [GET], Url ==> [/teachers] 
Status ==> [200], Response Time ==> [5.890 ms], Date & Time ==> [Fri, 19 May 2023 13:49:00 GMT], Method ==> [DELETE], Url ==> [/teachers] 
Status ==> [200], Response Time ==> [5.180 ms], Date & Time ==> [Fri, 19 May 2023 13:49:03 GMT], Method ==> [GET], Url ==> [/teachers] 
Status ==> [200], Response Time ==> [5.558 ms], Date & Time ==> [Fri, 19 May 2023 13:49:11 GMT], Method ==> [POST], Url ==> [/teachers] 
Status ==> [200], Response Time ==> [10.769 ms], Date & Time ==> [Fri, 19 May 2023 13:49:16 GMT], Method ==> [GET], Url ==> [/teachers] 
Status ==> [200], Response Time ==> [5.499 ms], Date & Time ==> [Fri, 19 May 2023 13:50:00 GMT], Method ==> [GET], Url ==> [/teachers/supervisors] 
Status ==> [200], Response Time ==> [36.665 ms], Date & Time ==> [Fri, 19 May 2023 14:04:38 GMT], Method ==> [GET], Url ==> [/child] 
Status ==> [500], Response Time ==> [310.176 ms], Date & Time ==> [Fri, 19 May 2023 14:11:35 GMT], Method ==> [POST], Url ==> [/child] 
Status ==> [200], Response Time ==> [58.469 ms], Date & Time ==> [Fri, 19 May 2023 14:12:46 GMT], Method ==> [POST], Url ==> [/child] 
Status ==> [200], Response Time ==> [20.320 ms], Date & Time ==> [Fri, 19 May 2023 14:13:03 GMT], Method ==> [GET], Url ==> [/child] 
Status ==> [200], Response Time ==> [7.334 ms], Date & Time ==> [Fri, 19 May 2023 14:13:24 GMT], Method ==> [POST], Url ==> [/child] 
Status ==> [200], Response Time ==> [8.122 ms], Date & Time ==> [Fri, 19 May 2023 14:13:28 GMT], Method ==> [GET], Url ==> [/child] 
Status ==> [200], Response Time ==> [5.035 ms], Date & Time ==> [Fri, 19 May 2023 14:13:59 GMT], Method ==> [POST], Url ==> [/child] 
Status ==> [200], Response Time ==> [7.215 ms], Date & Time ==> [Fri, 19 May 2023 14:14:02 GMT], Method ==> [GET], Url ==> [/child] 
Status ==> [200], Response Time ==> [23.046 ms], Date & Time ==> [Fri, 19 May 2023 14:26:53 GMT], Method ==> [GET], Url ==> [/child/1] 
Status ==> [200], Response Time ==> [7.938 ms], Date & Time ==> [Fri, 19 May 2023 14:26:59 GMT], Method ==> [GET], Url ==> [/child/2] 
Status ==> [500], Response Time ==> [17.049 ms], Date & Time ==> [Fri, 19 May 2023 14:28:03 GMT], Method ==> [GET], Url ==> [/child/5] 
Status ==> [200], Response Time ==> [217.813 ms], Date & Time ==> [Fri, 19 May 2023 14:37:18 GMT], Method ==> [PUT], Url ==> [/child] 
Status ==> [500], Response Time ==> [41.970 ms], Date & Time ==> [Fri, 19 May 2023 14:38:00 GMT], Method ==> [PUT], Url ==> [/child] 
